
### result ###
ink インク clear
limit リミット clear
answer 答え clear
level レベル clear
credit 信用 clear
look ルック clear
blow 打撃 miss
lead リード clear
metal 金属 clear
crime 犯罪 clear
request 要求 clear
apparatus 装置 unknown
thought 考え clear
story ストーリー clear
law 法律 clear
drink 飲み物 clear
chalk チョーク unknown
advertisement 広告 clear
wound 傷 clear
move 動き clear
### result ###
metal 金属 clear
turn ターン clear
degree 度 unknown
animal 動物 clear
laugh 笑い clear
care ケア clear
writing  執筆 miss
measure 測定 clear
rhythm リズム clear
addition 追加 clear
approval 承認 miss
teaching 教育 clear
body ボディ clear
stage ステージ clear
person 人 clear
list リスト clear
detail 詳細 unknown
organization 組織 clear
snow 雪 clear
hate 憎しみ clear
